,id,host_acceptance_rate,host_is_superhost,neighbourhood,latitude,longitude,room_type,accommodates,bedrooms,beds,amenities,price_in_dollar,minimum_nights,maximum_nights,has_availability,availability_30,number_of_reviews_l30d,review_scores_rating,instant_bookable,price_per_person,minimum_price,discount_per_5_days_booked,discount_per_10_days_booked,discount_per_30_and_more_days_booked,service_cost,available,five_day_dollar_price
1136,11708784,0.0,False,De Pijp - Rivierenbuurt,52.34,4.887,Entire home/apt,2,1,2,8,217.0,2,1125,True,0,0,4.93,True,108.5,434.0,0.11,0.15,0.26,4.99,,
1137,11711052,0.67,False,De Baarsjes - Oud-West,52.38,4.875,Entire home/apt,4,2,2,11,350.0,3,10,True,0,1,4.88,False,87.5,1050.0,0.08,0.21,0.21,4.99,0.0,1750.0
1138,11747373,0.62,False,Centrum-West,52.38,4.88,Entire home/apt,3,2,1,1,191.0,3,1125,True,5,1,4.45,True,63.66,573.0,0.09,0.15,0.17,4.99,0.8876712328767123,1589.13698630137
1139,11748044,1.0,False,Bos en Lommer,52.38,4.85,Entire home/apt,4,2,2,5,150.0,2,1125,True,4,0,4.76,True,37.5,300.0,0.06,0.17,0.18,4.99,,
1140,11790061,0.67,False,De Baarsjes - Oud-West,52.38,4.855,Entire home/apt,3,2,3,14,329.0,2,1125,True,0,2,4.82,False,109.7,658.0,0.06,0.19,0.25,4.99,0.0410958904109589,1649.3835616438357
1141,11822995,1.0,False,De Baarsjes - Oud-West,52.38,4.85,Entire home/apt,2,1,1,5,95.0,5,60,True,0,0,4.81,True,47.5,475.0,0.07,0.15,0.17,4.99,0.0,475.0
1142,11843850,0.54,True,Centrum-West,52.38,4.89,Entire home/apt,2,1,1,7,275.0,3,1125,True,1,2,4.9,True,137.5,825.0,0.07,0.1,0.23,4.99,0.7863013698630137,1375.3287671232877
1143,11846023,0.92,True,Centrum-West,52.38,4.89,Entire home/apt,2,1,1,11,275.0,3,1125,True,5,1,4.89,True,137.5,825.0,0.1,0.22,0.18,4.99,0.7780821917808219,1375.86301369863
1144,11857316,1.0,True,Oud-Noord,52.38,4.91,Entire home/apt,2,1,1,7,118.0,1,1124,True,0,11,4.94,False,59.0,118.0,0.07,0.15,0.14,4.99,,
1145,11858660,1.0,False,De Pijp - Rivierenbuurt,52.34,4.902,Entire home/apt,2,1,1,9,139.0,3,20,True,0,0,4.93,True,69.5,417.0,0.06,0.18,0.2,4.99,0.0,696.3698630136986
1146,11903464,0.82,False,Centrum-West,52.38,4.887,Entire home/apt,2,1,1,7,155.0,2,365,True,0,1,4.88,False,77.5,310.0,0.08,0.19,0.2,4.99,,
1147,11933006,0.5,False,Bos en Lommer,52.38,4.86,Entire home/apt,2,1,2,5,95.0,2,4,True,0,0,5.0,False,47.5,190.0,0.05,0.12,0.16,4.99,,
1148,11942440,0.0,False,Zuid,52.34,4.86,Entire home/apt,2,1,2,9,225.0,3,45,True,2,0,5.0,False,112.5,675.0,0.09,0.15,0.23,4.99,0.6876712328767123,1125.0
1149,11946705,0.8,False,Oostelijk Havengebied - Indische Buurt,52.38,4.938,Entire home/apt,4,2,4,8,214.0,2,1125,True,0,0,4.93,False,53.5,428.0,0.06,0.23,0.28,4.99,,
1150,11962960,0.58,False,Zuid,52.34,4.855,Entire home/apt,2,1,1,8,159.0,9,30,True,0,0,4.82,False,79.5,1431.0,0.07,0.23,0.21,4.99,0.0,795.0
